video_path,conf,iou,output,flag,username,timestamp
"{""video"":{""path"":""flagged\\video_path\\5c164220aa9c96fa7ae8\\1254140495-1-192.mp4"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\9b609f7ad3897801c36959baa2858fdae037161d\\1254140495-1-192.mp4"",""size"":7293581,""orig_name"":""1254140495-1-192.mp4"",""mime_type"":""""},""subtitles"":null}",0.25,0.45,,,,2024-01-14 10:25:26.821098
"{""path"":""flagged\\img\\16cf785db61692eb92a7\\zidane.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\0db7f3905bba79f6d562c2187042c7107c50abff\\zidane.jpg"",""size"":168949,""orig_name"":""zidane.jpg"",""mime_type"":""""}",0.25,0.45,"{""path"":""flagged\\output\\424eeb44a673144907f0\\image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",,,2024-01-14 11:04:52.256313
,0.25,0.45,,,,2024-03-22 17:11:00.536737
,0,0,,,,2024-03-22 18:22:26.093940
,0.25,0.45,,,,2024-03-22 18:25:01.455729
D:\GraduationProject\project\yolov5-5.0\flagged\img\4f6cb18d3d30e31e83211bc70a2b528661a04784\tmpy8fkg8uq.jpg,0.25,0.45,,,,2024-03-22 18:25:16.221245
D:\GraduationProject\project\yolov5-5.0\flagged\img\92ce087671ab92cf07bfa23790d84914a7eadde7\tmpkn5tabkr.jpg,0.25,0.45,,,,2024-03-22 18:25:17.108450
,0.25,0.45,"{""path"":""flagged\\output\\0ae68e42688e86eac9e1\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\066b733b437910891821ea865d4b138adacc8d56\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-03-22 18:38:46.864770
"{""path"":""flagged\\img\\117d06c685154c730c2b\\1_Handshaking_Handshaking_1_65.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\025f8ca137d8d84e8252a3caf6860dc6ebde1c54\\1_Handshaking_Handshaking_1_65.jpg"",""size"":null,""orig_name"":""1_Handshaking_Handshaking_1_65.jpg"",""mime_type"":null,""is_stream"":false}",0.25,0.45,"{""path"":""flagged\\output\\c1de37c60f7160787fd2\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\cdfb9ad660d96d72f50d31e2103ee2750cb48904\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-03-22 20:09:59.639054
"{""path"":""flagged\\img\\bf3a8affd43260ca7d5c\\1_Handshaking_Handshaking_1_65.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\025f8ca137d8d84e8252a3caf6860dc6ebde1c54\\1_Handshaking_Handshaking_1_65.jpg"",""size"":null,""orig_name"":""1_Handshaking_Handshaking_1_65.jpg"",""mime_type"":null,""is_stream"":false}",0.25,0.45,"{""path"":""flagged\\output\\3b8ada4cdc47e9ac1e9f\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\cdfb9ad660d96d72f50d31e2103ee2750cb48904\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-03-22 20:10:01.711804
"{""path"":""flagged\\img\\2bf29b359330351de86d\\test_00004346.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\663553ae30acc15cfc301dee9f11233d861647ec\\test_00004346.jpg"",""size"":null,""orig_name"":""test_00004346.jpg"",""mime_type"":null,""is_stream"":false}",0.25,0.45,"{""path"":""flagged\\output\\5ccbf065db2eda45f06c\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\cdfb9ad660d96d72f50d31e2103ee2750cb48904\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-03-22 20:10:06.142471
"{""path"":""flagged\\img\\c7d1a7f030098c952e9a\\test_00004346.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\663553ae30acc15cfc301dee9f11233d861647ec\\test_00004346.jpg"",""size"":null,""orig_name"":""test_00004346.jpg"",""mime_type"":null,""is_stream"":false}",0.25,0.45,"{""path"":""flagged\\output\\97e9868338eafd17ad44\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\cdfb9ad660d96d72f50d31e2103ee2750cb48904\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-03-22 20:10:07.959490
"{""path"":""flagged\\img\\547ed6e2a13591b933c7\\test_00004346.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\663553ae30acc15cfc301dee9f11233d861647ec\\test_00004346.jpg"",""size"":null,""orig_name"":""test_00004346.jpg"",""mime_type"":null,""is_stream"":false}",0.25,0.45,"{""path"":""flagged\\output\\b84990559bb2c47f51fd\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\cdfb9ad660d96d72f50d31e2103ee2750cb48904\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-03-22 20:10:09.503842
,0,0,,,,2024-03-22 20:14:26.159074
"{""path"":""flagged\\x\\d53cdc5e5fad69b405a9\\webcam.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\d10b52bc96c690e80201dbdc38bec24404740527\\webcam.png"",""size"":1117177,""orig_name"":""webcam.png"",""mime_type"":"""",""is_stream"":false,""meta"":{""_type"":""gradio.FileData""}}","{""path"":""flagged\\output\\9d3f1cfb65f79b4b4df5\\image.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\98f5f64074eb36b023598faed224b02b8c200d24\\image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false,""meta"":{""_type"":""gradio.FileData""}}",,,2024-03-27 09:54:39.379066
"{""path"":""flagged\\img\\80ef09b3c0e589606297\\1_Handshaking_Handshaking_1_65.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\025f8ca137d8d84e8252a3caf6860dc6ebde1c54\\1_Handshaking_Handshaking_1_65.jpg"",""size"":null,""orig_name"":""1_Handshaking_Handshaking_1_65.jpg"",""mime_type"":null}",0.25,0.45,"{""video"":{""path"":""flagged\\Video\\9a0a38d8227cfefefa3e\\sample.webm"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\18178\\AppData\\Local\\Temp\\gradio\\4d1b70325a22a33ddf22b6b3dca0631a54159596\\sample.webm"",""size"":1061321,""orig_name"":""sample.webm"",""mime_type"":""""},""subtitles"":null}",,,,,2024-03-27 11:05:42.339339
flagged\camera\473bcc86879f71da33b6\webcam.png,0.21,0.31,flagged\output\13073c8013acf617662e\image.png,,,2024-04-03 20:58:21.152571
flagged\camera\9408b228a16a1aa50d96\webcam.png,0.25,0.45,flagged\output\b0c26606343c4f44d2ec\image.png,,,2024-04-03 21:16:57.449839
flagged\camera\9b448eb4ed36f44d2ac9\webcam.png,0.25,0.45,flagged\output\92ff7c8e04200d5fdc1d\image.png,,,2024-04-03 21:56:32.034899
